,iso2,partner_iso2,flow,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,sum_2021,ISO3,name
0,FR,NL,1,40947003235.0,45718182715.0,46458798651.0,46644030672.0,43815998442.0,53880952276.0,FRA,France
1,FR,NL,2,16194278740.0,17146236298.0,17883851153.0,17785714636.0,16174795048.0,20019063594.0,FRA,France
2,FR,DE,1,99727204630.0,102263568892.0,104036942689.0,103079522792.0,88717998604.0,101783034360.0,FRA,France
3,FR,DE,2,72269280722.0,69627188729.0,71476918280.0,70764166344.0,62174692857.0,70772838844.0,FRA,France
4,FR,IT,1,40464487727.0,43919782735.0,46038892853.0,47384448641.0,42677719594.0,50587525428.0,FRA,France
5,FR,IT,2,32725750759.0,35599746889.0,36649048893.0,38038253370.0,32625695690.0,39464631559.0,FRA,France
6,FR,GB,1,22979903977.0,24113848841.0,23091764332.0,24668274518.0,19572108536.0,19888476738.0,FRA,France
7,FR,GB,2,31819432036.0,31611058434.0,33056891788.0,34756658061.0,27285061526.0,28421428356.0,FRA,France
8,FR,IE,1,6111378246.0,6900125127.0,6790181348.0,7371475726.0,7570741555.0,8361628497.0,FRA,France
9,FR,IE,2,2905974448.0,2870568878.0,3233776914.0,3389996952.0,3364851787.0,4513546745.0,FRA,France
10,FR,DK,1,3166135223.0,3513428109.0,3758475375.0,3855689499.0,3677987729.0,4089727184.0,FRA,France
11,FR,DK,2,2681949505.0,2943800692.0,3018373804.0,3148165566.0,2989868830.0,3557927977.0,FRA,France
12,FR,GR,1,645228834.0,739498387.0,1007387695.0,1078088237.0,1751437514.0,1666470737.0,FRA,France
13,FR,GR,2,2135666882.0,2124009748.0,2267892187.0,2486791901.0,2471628168.0,2704742289.0,FRA,France
14,FR,PT,1,5671066123.0,6070659855.0,6801532478.0,7003336103.0,6232111418.0,7022578936.0,FRA,France
15,FR,PT,2,4684983801.0,4927512207.0,5427064552.0,7276849410.0,4846886956.0,5431066398.0,FRA,France
16,FR,ES,1,36360967738.0,39388076846.0,41009223636.0,42084889365.0,40381659462.0,47963963077.0,FRA,France
17,FR,ES,2,34232606669.0,36543360266.0,38443715552.0,37915834786.0,31373114474.0,37135916054.0,FRA,France
18,FR,BE,1,55063032071.0,56492637134.0,58371341457.0,57306927268.0,49048791930.0,64636293101.0,FRA,France
19,FR,BE,2,30850577108.0,33198099291.0,35160167842.0,35280295821.0,31679975862.0,37868510331.0,FRA,France
20,FR,LU,1,2419020733.0,2348815592.0,2377127101.0,2420684441.0,2245804910.0,2643724070.0,FRA,France
21,FR,LU,2,2163705230.0,2329661740.0,2891796500.0,2683532793.0,2077345888.0,2835055481.0,FRA,France
22,FR,XC,1,37544.0,6685.0,778.0,2095.0,158.0,4114.0,FRA,France
23,FR,XC,2,1220054.0,15481506.0,6969836.0,10364012.0,213187.0,29671212.0,FRA,France
24,FR,XL,2,1330095.0,1600813.0,587989.0,437031.0,180230.0,159495.0,FRA,France
25,FR,IS,1,30183437.0,13069177.0,17632411.0,16348319.0,8184111.0,12091477.0,FRA,France
26,FR,IS,2,91852776.0,406419294.0,86246703.0,79427300.0,91847130.0,86334687.0,FRA,France
27,FR,NO,1,1835434757.0,2224825358.0,1920634016.0,1865610304.0,1513718901.0,1579341329.0,FRA,France
28,FR,NO,2,1504507604.0,1646149612.0,1923518899.0,1877461933.0,1728958343.0,1537159991.0,FRA,France
29,FR,SE,1,6165410353.0,6574197213.0,7125615419.0,6783285361.0,6224822115.0,7434842193.0,FRA,France
30,FR,SE,2,5201313939.0,5113505671.0,5164748681.0,5452926152.0,5204219370.0,5899550994.0,FRA,France
31,FR,FI,1,1848699412.0,2039282395.0,2084297802.0,2215689925.0,2087095989.0,2303308419.0,FRA,France
32,FR,FI,2,2021308252.0,2076792214.0,1823384960.0,1952411264.0,1695325248.0,1782269617.0,FRA,France
33,FR,LI,1,90265255.0,90211079.0,144983965.0,128377171.0,109692371.0,113273871.0,FRA,France
34,FR,LI,2,15095794.0,17271271.0,13106920.0,11348574.0,8804500.0,15666527.0,FRA,France
35,FR,AT,1,5387616864.0,7123874207.0,6676375990.0,6737127115.0,6066124080.0,6160542538.0,FRA,France
