,iso2,nc_2,flow,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,sum_2021,name
0,AT,01,1,229942510.0,238176415.0,235985340.0,232970867.0,210100212.0,220997997.0,Austria
1,AT,01,2,151742759.0,167147930.0,144734838.0,140641020.0,128479162.0,115877593.0,Austria
2,AT,02,1,943690271.0,983580666.0,941720673.0,1019919868.0,840329119.0,859940194.0,Austria
3,AT,02,2,1090339764.0,1158659659.0,1092704065.0,1187369959.0,1154878310.0,1273105866.0,Austria
4,AT,03,1,321426021.0,321545199.0,315368075.0,331505068.0,288501198.0,317963980.0,Austria
5,AT,03,2,53955043.0,50924835.0,53659841.0,59885487.0,61781718.0,68458291.0,Austria
6,AT,04,1,804158666.0,884671283.0,934296900.0,936574823.0,943708454.0,937363759.0,Austria
7,AT,04,2,1170021963.0,1231365523.0,1289989838.0,1321268740.0,1379950805.0,1417563900.0,Austria
8,AT,05,1,91642274.0,104364421.0,104640555.0,101404028.0,100693282.0,118455589.0,Austria
9,AT,05,2,53067699.0,58536671.0,59013930.0,50120041.0,52363711.0,70309175.0,Austria
10,AT,06,1,325480225.0,337026240.0,372984479.0,385467081.0,358950801.0,413333220.0,Austria
11,AT,06,2,32352327.0,30644370.0,38526008.0,38775869.0,41697036.0,41778272.0,Austria
12,AT,07,1,611393227.0,657934375.0,657368690.0,700477258.0,652846704.0,671876438.0,Austria
13,AT,07,2,192722471.0,191894783.0,203938304.0,219876531.0,211967941.0,225766646.0,Austria
14,AT,08,1,1163724975.0,1174651555.0,1150541305.0,1196448438.0,1310445877.0,1300342371.0,Austria
15,AT,08,2,402429772.0,348908612.0,341240941.0,355246919.0,418930391.0,411909469.0,Austria
16,AT,09,1,491270347.0,502775738.0,480957824.0,495511888.0,476911672.0,509827630.0,Austria
17,AT,09,2,148045172.0,148241037.0,141851804.0,163158449.0,160695113.0,175540989.0,Austria
18,AT,10,1,431063687.0,479645625.0,449675635.0,511051930.0,531458266.0,624535066.0,Austria
19,AT,10,2,376202188.0,399502011.0,366695370.0,417011119.0,462514729.0,506918660.0,Austria
20,AT,11,1,106953976.0,110046624.0,117091335.0,123763311.0,124377406.0,139091794.0,Austria
21,AT,11,2,194393741.0,207433620.0,197406267.0,207054288.0,254672882.0,291549577.0,Austria
22,AT,12,1,426033820.0,420430994.0,465461439.0,476438368.0,547436598.0,640276029.0,Austria
23,AT,12,2,256515062.0,323003631.0,344650652.0,365468647.0,404275741.0,405648673.0,Austria
24,AT,13,1,42471563.0,55215368.0,60364561.0,69663329.0,82238339.0,90552363.0,Austria
25,AT,13,2,7267882.0,10205951.0,13333818.0,15361676.0,17275142.0,20259129.0,Austria
26,AT,14,1,3095805.0,3710750.0,4188060.0,5003942.0,4666506.0,7772716.0,Austria
27,AT,14,2,1557554.0,1238469.0,1498422.0,1586221.0,1690951.0,3229713.0,Austria
28,AT,15,1,457199954.0,477303909.0,448030299.0,475144493.0,517164368.0,860489856.0,Austria
29,AT,15,2,267048633.0,265012308.0,281490004.0,302584127.0,309966758.0,512018025.0,Austria
30,AT,16,1,402538644.0,438729130.0,475654095.0,481996941.0,442774178.0,479908457.0,Austria
31,AT,16,2,400326373.0,448746231.0,481403936.0,526112028.0,532209696.0,569179248.0,Austria
32,AT,17,1,277393088.0,284268703.0,268344448.0,281070967.0,328224148.0,337527616.0,Austria
33,AT,17,2,271317423.0,292337790.0,277374828.0,283588382.0,284113386.0,306304506.0,Austria
34,AT,18,1,575244125.0,512121576.0,553425453.0,553039094.0,532434553.0,556445670.0,Austria
35,AT,18,2,396285833.0,414548171.0,371636424.0,387109810.0,415617543.0,479557534.0,Austria
36,AT,19,1,903758560.0,980641568.0,985033202.0,1074092823.0,1069795739.0,1130500432.0,Austria
37,AT,19,2,947299627.0,994306305.0,1049695216.0,1159165149.0,1181149957.0,1237390593.0,Austria
38,AT,20,1,739433007.0,795922386.0,794974361.0,772573143.0,817932606.0,896321527.0,Austria
39,AT,20,2,623760142.0,642093355.0,711423560.0,683394236.0,677386468.0,791620205.0,Austria
40,AT,21,1,759861041.0,785304089.0,804102850.0,840234451.0,848272568.0,914435570.0,Austria
41,AT,21,2,697485175.0,753255506.0,769385401.0,805534300.0,871164628.0,964838495.0,Austria
42,AT,22,1,1161419803.0,1193607065.0,1269083523.0,1337159203.0,1236865112.0,1257185102.0,Austria
43,AT,22,2,2654902942.0,2927135923.0,3154504916.0,3419258693.0,3438972610.0,3584519512.0,Austria
44,AT,23,1,597703000.0,694367744.0,705431818.0,746557293.0,838139831.0,896038536.0,Austria
45,AT,23,2,664117267.0,731068623.0,797321004.0,842102625.0,900942927.0,1008140033.0,Austria
46,AT,24,1,220295484.0,207837447.0,253020199.0,245728435.0,274074026.0,308004720.0,Austria
47,AT,24,2,816595.0,201546.0,305029.0,615665.0,921223.0,485792.0,Austria
48,AT,25,1,445383324.0,446720153.0,529723625.0,495616726.0,452346230.0,559143272.0,Austria
49,AT,25,2,339068487.0,346806847.0,359315089.0,361074130.0,360438725.0,406010039.0,Austria
50,AT,26,1,622824153.0,937470421.0,1010071408.0,1066775909.0,1088349957.0,1771477723.0,Austria
51,AT,26,2,28232926.0,34703004.0,48312177.0,39752281.0,32950459.0,39383865.0,Austria
52,AT,27,1,8933924415.0,10739335604.0,12770578125.0,12263205052.0,8250433880.0,13921637044.0,Austria
53,AT,27,2,2297528803.0,2802291432.0,3284713424.0,3590509344.0,2824306268.0,4164228477.0,Austria
54,AT,28,1,818316629.0,959721627.0,1293594676.0,1077424017.0,846307205.0,1016459871.0,Austria
55,AT,28,2,693766736.0,855707071.0,1013404556.0,873279170.0,726078173.0,981181335.0,Austria
56,AT,29,1,4534728934.0,5245046528.0,4500563249.0,4731804001.0,4126776134.0,4811655017.0,Austria
57,AT,29,2,1564038878.0,2989028123.0,1992805488.0,2260892375.0,2220283900.0,1524165407.0,Austria
58,AT,30,1,5163434282.0,5329981836.0,6161984780.0,6817557234.0,6972894419.0,9085482202.0,Austria
59,AT,30,2,7754924417.0,8044076569.0,8498136686.0,10061202258.0,10836006437.0,12181547361.0,Austria
60,AT,31,1,200703335.0,197547105.0,188775773.0,215942379.0,196525597.0,270833757.0,Austria
61,AT,31,2,287467526.0,277975028.0,231044581.0,320338211.0,274949458.0,423410741.0,Austria
62,AT,32,1,910858396.0,948840414.0,993250093.0,1004529445.0,980576515.0,1143264887.0,Austria
63,AT,32,2,648467598.0,688061320.0,761902829.0,780031733.0,791070058.0,882681902.0,Austria
64,AT,33,1,1031020575.0,1086636934.0,1118905443.0,1176166866.0,1192743826.0,1204558638.0,Austria
65,AT,33,2,414216309.0,437756081.0,473006892.0,515797732.0,518063405.0,557950282.0,Austria
66,AT,34,1,762393686.0,811083075.0,841004174.0,846409830.0,854525065.0,927849776.0,Austria
67,AT,34,2,502626691.0,495159955.0,537892014.0,552254982.0,546197798.0,591206827.0,Austria
68,AT,35,1,218212355.0,231941527.0,231180472.0,235181077.0,237010936.0,294396493.0,Austria
69,AT,35,2,234658774.0,252034507.0,254321773.0,236571736.0,248635597.0,306754329.0,Austria
70,AT,36,1,35041362.0,32255937.0,34051784.0,40829608.0,31278204.0,35415667.0,Austria
71,AT,36,2,43732248.0,52326533.0,54185526.0,65873841.0,57407676.0,67221884.0,Austria
72,AT,37,1,81067597.0,87586910.0,84575351.0,78495745.0,59239234.0,57398573.0,Austria
73,AT,37,2,55082265.0,25729733.0,26850599.0,22742238.0,15773783.0,17773128.0,Austria
74,AT,38,1,1455969201.0,1566131729.0,1749224288.0,1826524469.0,2081448894.0,2547363268.0,Austria
75,AT,38,2,1690167780.0,1705426412.0,1744470155.0,1802047504.0,2030303196.0,2448969902.0,Austria
76,AT,39,1,6139560313.0,6675948527.0,7048270939.0,6954574232.0,6372868421.0,8242875839.0,Austria
77,AT,39,2,6464455042.0,6789362868.0,7263235788.0,6993203394.0,6568079502.0,8391357420.0,Austria
78,AT,40,1,1312107322.0,1417008939.0,1510160723.0,1583012517.0,1506454047.0,1850188496.0,Austria
79,AT,40,2,614333358.0,638843675.0,669650663.0,663629794.0,669632839.0,788520641.0,Austria
80,AT,41,1,369223525.0,358300994.0,302410577.0,221935765.0,141806199.0,158911242.0,Austria
81,AT,41,2,564270205.0,571820187.0,498507939.0,389395204.0,308831039.0,289972637.0,Austria
82,AT,42,1,635363460.0,659294459.0,696847879.0,745394431.0,564157723.0,625005609.0,Austria
83,AT,42,2,255205741.0,257782256.0,211101767.0,226180089.0,194398832.0,215370105.0,Austria
84,AT,43,1,26049323.0,21475670.0,22440506.0,17766926.0,13587698.0,12839989.0,Austria
85,AT,43,2,10533196.0,12874578.0,10201284.0,9051346.0,6936014.0,6781560.0,Austria
86,AT,44,1,2604007911.0,2822681142.0,2985815830.0,2819771147.0,2789595610.0,3716371199.0,Austria
87,AT,44,2,4243169356.0,4501825806.0,4795897839.0,4774676677.0,4608029953.0,6380172140.0,Austria
88,AT,45,1,13659240.0,14064579.0,13189364.0,15879177.0,12302219.0,13797052.0,Austria
89,AT,45,2,7290035.0,7283487.0,6570820.0,7107384.0,5622609.0,6468085.0,Austria
90,AT,46,1,17065139.0,17575314.0,18639579.0,18807624.0,18626405.0,22579774.0,Austria
91,AT,46,2,4974906.0,4724099.0,5706045.0,6640066.0,6428226.0,6415094.0,Austria
92,AT,47,1,694027829.0,664930124.0,704363069.0,624769434.0,491589931.0,754568833.0,Austria
93,AT,47,2,318339048.0,325341039.0,378668939.0,340998171.0,275689658.0,270746566.0,Austria
94,AT,48,1,1922906099.0,2026439678.0,2088605356.0,2083272061.0,1967095515.0,2135688644.0,Austria
95,AT,48,2,4119823430.0,4154490084.0,4422808137.0,4335297810.0,3916500500.0,4442100736.0,Austria
96,AT,49,1,875273281.0,893259182.0,867997998.0,865114765.0,727570018.0,728493698.0,Austria
97,AT,49,2,414928368.0,427566375.0,462322557.0,391242548.0,386493787.0,401299223.0,Austria
98,AT,50,1,6032914.0,5750977.0,10027821.0,6626779.0,3226582.0,4132825.0,Austria
99,AT,50,2,4390814.0,4134633.0,5143775.0,3982758.0,2322105.0,1508384.0,Austria
100,AT,51,1,42298544.0,55300412.0,61719960.0,56055756.0,60733038.0,73304100.0,Austria
101,AT,51,2,55845898.0,67508602.0,63993326.0,50157387.0,30898683.0,36509466.0,Austria
102,AT,52,1,213082311.0,220193356.0,239395429.0,235615545.0,228774918.0,254421343.0,Austria
103,AT,52,2,278392996.0,292734258.0,357428013.0,380969672.0,369587336.0,430526307.0,Austria
104,AT,53,1,13073896.0,12403094.0,13982894.0,13945635.0,11215534.0,12100304.0,Austria
105,AT,53,2,7986778.0,7679787.0,7829291.0,7310438.0,6692456.0,7120228.0,Austria
106,AT,54,1,150245577.0,164739168.0,176668330.0,169489596.0,142783146.0,169395786.0,Austria
107,AT,54,2,87620583.0,90239043.0,93043269.0,96909715.0,86930945.0,94526602.0,Austria
108,AT,55,1,140083849.0,146238063.0,135364265.0,130156253.0,114261484.0,143079108.0,Austria
109,AT,55,2,1043076837.0,1098184779.0,1105784000.0,1128078542.0,845407989.0,1015796950.0,Austria
110,AT,56,1,220705100.0,236850879.0,237042572.0,244071638.0,240144787.0,290941749.0,Austria
